issuer,all_count,free_count,paid_count,none_count
myHRfuture,9,0,0,9
Epicor,9,0,0,9
Insurance Institute of Canada / Institut d’assurance du Canada,9,0,0,9
Deltek,9,0,0,9
Wray Castle Limited,9,0,0,9
"AI Networking Summit, Produced by ONUG",9,0,0,9
Microsoft US Business Outcome Selling,9,0,0,9
The Community Roundtable,8,3,2,3
OpenUK,8,7,0,1
TUC,8,8,0,0
Demandbase,8,8,0,0
AWS Community,8,5,0,3
Microsoft US Office of Digital Data Science (MODDS),8,8,0,0
VMware - Trained Professional,8,6,0,2
Roku,8,8,0,0
#JLLDataFam,8,8,0,0
Oklahoma State Regents for Higher Education (OSRHE),8,4,2,2
Mode,8,8,0,0
microsoft,8,8,0,0
"Forescout Technologies, Inc.",8,3,5,0
ACESENCE,8,5,3,0
Collibra,8,1,2,5
Hilton,8,3,4,1
The Woolmark Company,8,1,0,7
Eclipse Foundation,8,1,0,7
Digital Maturity Group,8,0,8,0
"Kotter International, Inc.",8,0,8,0
Adobe Digital Learning Services,8,0,8,0
Case Western Reserve University,8,0,8,0
Flatter Leadership Academy,8,0,8,0
NCFDD,8,0,8,0
Talogy,8,0,8,0
TryHackMe,8,0,8,0
World Happiness Foundation,8,0,8,0
American Welding Society,8,0,7,1
Pathstream,8,0,8,0
Crisil,8,0,6,2
Change Management Institute,8,0,6,2
"Institute for Professional Advancement, Inc. (IPA)",8,0,8,0
Esme Learning Solutions,8,0,8,0
FDP Institute,8,0,8,0
Avocademy,8,0,8,0
Internal Control Institute,8,0,8,0
DEVMOUNTAIN,8,0,0,8
University of New Hampshire,8,0,0,8
Australia & New Zealand Academy for Eating Disorders (ANZAED),8,0,0,8
Inform USA,8,0,0,8
City & Guilds Foundation,8,0,0,8
Microsoft Strategic Missions and Technologies,8,0,0,8
One Young World,8,0,0,8
CareerClover,8,0,0,8
Richardson,8,0,0,8
Sirion,8,0,0,8
EPIC People,8,0,0,8
Penn Foster,8,0,0,8
Microsoft Tech for Social Impact,8,0,0,8
iTrain Asia,8,0,0,8
SentinelOne,8,0,0,8
Cushman & Wakefield,8,0,0,8
Monash College,8,0,0,8
TigerGraph,7,7,0,0
NiCE,7,3,0,4
New Jersey School Boards Association,7,6,0,1
Fossil Group,7,6,0,1
Intel 471,7,7,0,0
Proximus,7,4,0,3
Kennesaw State University,7,7,0,0
University of Colorado Boulder,7,5,1,1
Interlat Digital Enterprise Intelligence,7,7,0,0
Fluid Attacks,7,4,3,0
DirectTrust,7,4,3,0
IAB - Interactive Advertising Bureau México,7,4,2,1
Hacking HR,7,1,6,0
Kindermusik International,7,0,4,3
Full Focus,7,0,7,0
American Marketing Association,7,0,7,0
The Coach Partnership,7,0,7,0
Quickstart Inc.,7,0,7,0
Association of Product Professionals,7,0,7,0
Fashion Institute of Technology,7,0,6,1
AMVO: Asociacion Mexicana de Venta Online,7,0,4,3
The Mintable,7,0,7,0
Felipe Vergara LLC,7,0,7,0
Certinia,7,0,7,0
University of Denver,7,0,6,1
Club Management Association of America,7,0,7,0
Veritas Culture,7,0,7,0
Boston University Center for Professional Education,7,0,7,0
Methodry,7,0,7,0
Institute of Public Works Engineering Australasia (IPWEA),7,0,5,2
Financial Psychology Institute®,7,0,7,0
P3 Adaptive,7,0,7,0
Northern Alberta Institute of Technology,7,0,7,0
AMT,7,0,7,0
Inspection Certification Associates,7,0,7,0
BigID,7,0,7,0
Dental Assisting National Board,7,0,7,0
Institute for Applied Network Security,7,0,7,0
Process Mentors,7,0,7,0
Rutgers Business School,7,0,7,0
Obeya Association,7,0,6,1
"Salesloft, Inc.",7,0,3,4
Koenig Solutions,7,0,3,4
WiLD LEADERS,7,0,7,0
Omada A/S,7,0,0,7
Parallels,7,0,0,7
Notion,7,0,0,7
Treefrog Inc.,7,0,0,7
Microsoft 365 Partner Marketing,7,0,0,7
The Coca-Cola Company,7,0,0,7
Hanken & SSE Executive Education,7,0,0,7
Patents@Pearson,7,0,0,7
University of Illinois Springfield,7,0,0,7
Endeavor,7,0,0,7
Microsoft E+D Divisional FHL program,7,0,0,7
Deloitte Certified Credentials,7,0,0,7
Rocheston,7,0,0,7
"American Board for Certification in Orthotics, Prosthetics & Pedorthics",7,0,0,7
VertiMax,7,0,0,7
Arc Jumpstart,7,0,0,7
Pennsylvania Training and Technical Assistance Network,7,0,0,7
Anti-Pattern Inc.,7,0,0,7
LVMH House Americas,7,0,0,7
The Point-of-Care Ultrasound (POCUS) Certification Academy™,7,0,0,7
Expertunity,7,0,0,7
AWS Managed Cloud,7,0,0,7
Zebra Technologies,7,0,0,7
Magnite,6,6,0,0
Smartsheet Aligned Partner Network,6,6,0,0
Specified Technologies Inc.,6,6,0,0
Society for Imaging Informatics in Medicine (SIIM),6,4,2,0
Ford Motor Company,6,2,0,4
Corporación Ecuatoriana para el Desarrollo de la Investigación y la Academia CEDIA,6,2,4,0
Security Industry Association (SIA),6,6,0,0
eWorks,6,6,0,0
Sysdig,6,6,0,0
"2U, Inc.",6,4,0,2
Linde,6,5,0,1
Temple University Non-Credit and Continuing Education,6,1,5,0
M365 CORE | Engage - People Recognition Beta 3.3,6,4,0,2
University of Texas at San Antonio,6,6,0,0
Canadian Institute of Planners,6,1,5,0
World Education,6,6,0,0
Microsoft Western Europe Developer,6,3,0,3
Escuela Bancaria y Comercial S.C.,6,2,4,0
National Association for Community College Entrepreneurship,6,1,5,0
JS Institute,6,0,6,0
International Association of Business Communicators,6,0,6,0
IQN,6,0,6,0
VETASSESS,6,0,6,0
EDUCACIÓN CONTINUA – UNIVERSIDAD DE CUENCA,6,0,5,1
Pharmaceutical Advertising Advisory Board,6,0,6,0
die.agilen GmbH,6,0,6,0
Marietta College,6,0,5,1
FranklinCovey,6,0,6,0
The Brooks Group,6,0,6,0
Australasian College of Health Service Management (ACHSM),6,0,6,0
Manufacturing Skill Standards Council,6,0,6,0
LendingTree University,6,0,6,0
University of Houston,6,0,6,0
Association of Child Life Professionals,6,0,6,0
ITSMF,6,0,6,0
Global Compliance Institute,6,0,6,0
Evolve Academy,6,0,6,0
UCSC Silicon Valley Extension,6,0,6,0
Collective Change Institute,6,0,4,2
NCTRC,6,0,6,0
The Commission on Rehabilitation Counselor Certification (CRCC),6,0,6,0
Sooner Safer Happier,6,0,4,2
Collab365,6,0,6,0
NRF Foundation,6,0,6,0
ACFCS,6,0,6,0
Greenpixie,6,0,6,0
Money Management Institute,6,0,5,1
Georgetown University,6,0,1,5
UC San Diego Extended Studies,6,0,4,2
Year Up,6,0,4,2
Nord Pool Academy,6,0,6,0
Swiss Armed Forces,6,0,6,0
Pearson Badging,6,0,1,5
Radisson Hotel Group,6,0,3,3
State Farm,6,0,0,6
The American Institute of Certified Tax Planners,6,0,0,6
Amadeus,6,0,0,6
Orkla,6,0,0,6
Boeing,6,0,0,6
Risk Management Institute of Australasia (RMIA),6,0,0,6
GovTech,6,0,0,6
BNP Paribas,6,0,0,6
"GE Appliances, A Haier Company",6,0,0,6
Stratominds®,6,0,0,6
SparkFabrik,6,0,0,6
Akkodis Group,6,0,0,6
Pearson College and Career Readiness Programs,6,0,0,6
UKGTF,6,0,0,6
BeyondTrust,6,0,0,6
ICON,6,0,0,6
Auburn University,6,0,0,6
Hennepin Healthcare,6,0,0,6
ASEM® | American Society for Engineering Management®,6,0,0,6
ExploreLearning,6,0,0,6
Course Conductor,6,0,0,6
National Healthcareer Association,6,0,0,6
GridGain,5,3,0,2
Gravity Sketch,5,5,0,0
Viant,5,5,0,0
NCCU Division of Extended Studies,5,3,0,2
Itaú Unibanco,5,1,0,4
The Leading Learning Partners Association,5,3,0,2
Armanino Advisory LLC,5,5,0,0
Merrimack College,5,4,0,1
Seer 365,5,5,0,0
Pearson Clinical Assessment,5,4,0,1
Starburst,5,1,4,0
Learning Engine,5,5,0,0
QA Ltd,5,3,2,0
Association of Diabetes Care & Education Specialists,5,1,3,1
42,5,5,0,0
Telstra,5,5,0,0
Infineon Technologies Asia Pacific Pte. Ltd,5,3,1,1
GovHack,5,5,0,0
BIFA (British International Freight Association),5,2,3,0
GUIDE SHARE EUROPE,5,5,0,0
Torrens University Australia,5,3,2,0
Hearst,5,2,0,3
UC Davis Division of Continuing and Professional Education,5,1,1,3
Disney Programs,5,4,0,1
Adalid Chile,5,4,1,0
ADP,5,1,3,1
Arrow Education Services,5,3,0,2
George Mason University,5,1,2,2
Ivanti,5,2,2,1
Colaberry,5,1,4,0
Ciena,5,2,1,2
Advocis,5,0,5,0
Electronic Transactions Association,5,0,5,0
Exos,5,0,5,0
Neurointegration Institute,5,0,5,0
Catalyst Constellations,5,0,5,0
Coding Temple,5,0,5,0
DroneSec,5,0,5,0
CENGN,5,0,5,0
American Software ®,5,0,5,0
GKC Group,5,0,5,0
Latino Leadership Institute,5,0,3,2
Montel Group,5,0,5,0
Brand Storytelling,5,0,5,0
IACET,5,0,5,0
Base Over Apex,5,0,5,0
Micro HR by HRCP,5,0,5,0
ecfirst,5,0,5,0
Universidad de Monterrey,5,0,3,2
ExitCertified,5,0,3,2
Emic Lab,5,0,5,0
Teknowledge,5,0,5,0
University of Louisville,5,0,4,1
Pepperdine University – Graduate School of Education and Psychology (GSEP),5,0,1,4
Granicus,5,0,5,0
Red Education,5,0,5,0
Cielo Talent,5,0,5,0
UNC-Chapel Hill,5,0,5,0
The Law Society,5,0,5,0
Forrest Performance Group,5,0,5,0
Applied Frameworks,5,0,5,0
freeCE,5,0,5,0
"Oxford University, Department of Economics",5,0,4,1
American Medical Informatics Association® (AMIA®),5,0,5,0
The Executive Leadership Council,5,0,1,4
CyberDefenders,5,0,5,0
BlueCat Networks,5,0,5,0
Wiley Finance & Accounting,5,0,4,1
USC Center for Excellence in Teaching,5,0,0,5
Workearly,5,0,0,5
Texas A&M University - Bush School of Government & Public Service,5,0,0,5
Microsoft CAT,5,0,0,5
Certara,5,0,0,5
National Institutes of Health Director's Awards,5,0,0,5
Language Testing International,5,0,0,5
Logical Operations / Communispond,5,0,0,5
IT Certification Council,5,0,0,5
Universidad Nacional de Colombia,5,0,0,5
The HOW Institute for Society,5,0,0,5
GroupM Nexus,5,0,0,5
The Jackson Laboratory,5,0,0,5
Pearson Higher Education International,5,0,0,5
Greenhouse Software,5,0,0,5
LawShelf Educational Media,5,0,0,5
CHRISTUS Health,5,0,0,5
Microsoft Cross Solution Level Up Program,5,0,0,5
W.K. Kellogg Foundation,5,0,0,5
Genetec Inc.,5,0,0,5
Villanova University,5,0,0,5
Cybereason,5,0,0,5
SUNY Geneseo,5,0,0,5
IDC,5,0,0,5
West Monroe,5,0,0,5
Interaction Associates,5,0,0,5
MathWorks,5,0,0,5
Saint Mary’s University of Minnesota,5,0,0,5
H Layer Credentialing,5,0,0,5
The Adecco Group University,4,2,0,2
BCI,4,4,0,0
REA Group,4,3,0,1
Zurich North America,4,3,0,1
Tigera,4,4,0,0
NoShitSecurity,4,4,0,0
WatchGuard Technologies,4,1,0,3
Pace University,4,3,1,0
mParticle,4,4,0,0
Blue Ridge Community and Technical College,4,4,0,0
Bayer,4,4,0,0
Yale Ciencia Initiative,4,4,0,0
EVERITAS,4,4,0,0
Orca Security,4,4,0,0
SiriusXM Media,4,4,0,0
AWS WWCO Pan-Geo Com Field Sales,4,3,0,1
University of Central Oklahoma,4,2,2,0
Microsoft Health & Life Sciences Industry Academies,4,4,0,0
Enroly,4,4,0,0
Microsoft MEA Customer Partner Experience,4,1,0,3
AcademyGlobal (AG),4,3,1,0
ZEDEDA,4,3,0,1
Clio,4,4,0,0
Western Academy Support and Training Center,4,1,2,1
Elastic Path,4,1,3,0
"Bluebeam, Inc.",4,1,3,0
Ardoq,4,1,0,3
Functional Diagnostic Nutrition,4,0,4,0
Hospitality Financial and Technology Professionals,4,0,2,2
CIRSx,4,0,4,0
Cummings Graduate Institute for Behavioral Health Studies,4,0,4,0
"IPI, LLC",4,0,4,0
The Chartered Institute of Building (CIOB),4,0,4,0
Positive Acorn,4,0,4,0
SeeMore Impact Labs,4,0,1,3
PRINTING United Alliance,4,0,4,0
Avature Limited,4,0,4,0
Pwned Labs,4,0,4,0
CareerLearning,4,0,4,0
"University of Cambridge, Judge Business School",4,0,4,0
Center for Applied Linguistics,4,0,4,0
Fearless Living Institute,4,0,4,0
Agile Scrum Group,4,0,4,0
American Management Association,4,0,4,0
PMO Strategies,4,0,4,0
BŌMĪ,4,0,4,0
nCino,4,0,4,0
UNIVERSIDAD CATÓLICA DE SALTA,4,0,3,1
Compliance Institute,4,0,4,0
The University of Texas at Arlington Extension and Extended Campus,4,0,4,0
Magna Publications,4,0,4,0
PMO Global Institute Inc.,4,0,4,0
Learning Actors,4,0,3,1
Accreditation Council for Accountancy and Taxation,4,0,4,0
Rutgers University–New Brunswick,4,0,4,0
ARCS Australia Limited,4,0,4,0
Lean Agile Institute,4,0,4,0
Milwaukee Area Technical College,4,0,4,0
Line Learning and Development Solutions,4,0,4,0
American Association of Collegiate Registrars and Admissions Officers,4,0,4,0
Asian Institute of Insurance,4,0,4,0
The 12-Week MBA by Abilitie,4,0,4,0
Smarsh,4,0,4,0
PM CERTIFICA,4,0,4,0
ProfCerti,4,0,4,0
Janek Performance Group,4,0,4,0
The Leadership Intensive,4,0,4,0
National Institute for Staff and Organizational Development,4,0,3,1
Imperial College Business School Executive Education,4,0,4,0
JFrog,4,0,1,3
Future of Privacy Forum,4,0,4,0
Praxis AI,4,0,4,0
Thomson Reuters,4,0,4,0
Department of Public Safety Training and Certification,4,0,4,0
American Academy of Actuaries,4,0,4,0
Opportunity Hub,4,0,4,0
Wade Institute,4,0,4,0
Institute of Directors New Zealand,4,0,4,0
CLUB EXCELENCIA EN GESTION,4,0,4,0
Virtanza,4,0,1,3
PPM Manajemen,4,0,4,0
UK Customs Academy,4,0,2,2
Association for Accounting Marketing,4,0,1,3
Association of Business Process Management Professionals International,4,0,0,4
ReligionAndPublicLife.org,4,0,0,4
American Board of Oral & Maxillofacial Surgery,4,0,0,4
d-force GmbH,4,0,0,4
Institute and Faculty of Actuaries,4,0,0,4
Seton Hall University,4,0,0,4
KPMG US,4,0,0,4
Microsoft Cloud Sales Academy,4,0,0,4
LearnLaunch,4,0,0,4
Attorney General Alliance Partnership (AGA AP),4,0,0,4
Microsoft's Public Sector Center for Digital Skills,4,0,0,4
MeasureUp,4,0,0,4
HUB International,4,0,0,4
Synopsys,4,0,0,4
CyberStronger,4,0,0,4
Defense Counterintelligence and Security Agency,4,0,0,4
Ferrazzi Greenlight,4,0,0,4
Zayed University,4,0,0,4
National Society for Legal Technology,4,0,0,4
athenahealth,4,0,0,4
BAT,4,0,0,4
The American Society of Addiction Medicine,4,0,0,4
The Center for Internet Security,4,0,0,4
Tecnológico de Monterrey,4,0,0,4
Pexip AS,4,0,0,4
Cyara,4,0,0,4
American College of Healthcare Sciences,4,0,0,4
Starr Commonwealth,4,0,0,4
MarketScale,4,0,0,4
Marketing + Media Alliance,4,0,0,4
CSCA® (Certified in Strategy and Competitive Analysis),4,0,0,4
The Chicago School,4,0,0,4
International Society of Certified Employee Benefit Specialists,4,0,0,4
Moderna,4,0,0,4
Miami Dade College,4,0,0,4
FiAD - Foro de Innovación para el Aprendizaje y el Desarrollo,4,0,0,4
Professionals in Humanitarian Assistance and Protection (PHAP),4,0,0,4
Quantexa,4,0,0,4
Skill Board,4,0,0,4
UWE Bristol,4,0,0,4
ASPIRE,4,0,0,4
North American Drama Therapy Association,4,0,0,4
Scale Up Ecosystems,4,0,0,4
University of Dallas,4,0,0,4
Experts Exchange,4,0,0,4
University of North Dakota,3,2,0,1
Dragos,3,1,2,0
Universidad Autónoma de Bucaramanga,3,2,0,1
WitFoo,3,3,0,0
The Adecco Group US Foundation,3,3,0,0
Digital Architects NetWork,3,1,2,0
C3 Companies Creating Change,3,3,0,0
Fluency Leadership,3,2,1,0
Major Guidance Solutions,3,3,0,0
RECLA,3,1,2,0
FloQast,3,1,0,2
SingleStore,3,3,0,0
Holcim MAQER Ventures,3,1,0,2
Centric Brands,3,3,0,0
Ellucian,3,3,0,0
Universidad Hemisferios,3,3,0,0
Syngenta Group,3,1,0,2
Exiger,3,1,0,2
Sociedad Ecuatoriana de Estadístca,3,1,2,0
PA Housing,3,1,0,2
PowerED™ by Athabasca University,3,3,0,0
DISCO,3,3,0,0
Competency & Credentialing Institute,3,1,0,2
IACMI - The Composites Institute,3,1,0,2
AWS Public Sector Australia & New Zealand,3,3,0,0
Upstart,3,3,0,0
The Guardian Life Insurance Company of America,3,3,0,0
Hunters,3,3,0,0
ACTS,3,3,0,0
GBM,3,2,0,1
Plan Sponsor Council of America (PSCA),3,3,0,0
Salt Security,3,3,0,0
iCEV,3,2,0,1
Allegis Global Solutions,3,2,0,1
RSA Security,3,0,3,0
Ampcus Cyber,3,0,2,1
The Academy for Advanced Women's Health Medicine,3,0,3,0
Strategyn,3,0,3,0
CPA Ontario,3,0,3,0
Crystal Intelligence,3,0,3,0
DecisionWise,3,0,3,0
NetWitness,3,0,2,1
Technology & Leadership Center at Washington University in St. Louis,3,0,1,2
"P3GQA - Project, Programme & Portfolio Governance Qualification Authority",3,0,3,0
NalesEd,3,0,3,0
Grow America,3,0,2,1
Darktrace,3,0,3,0
American Board of Imaging Informatics,3,0,3,0
iManage LLC,3,0,3,0
Technology Association of Grantmakers,3,0,3,0
Analytics Institute,3,0,3,0
Innovative Leadership Institute,3,0,3,0
Independent Community Bankers of America (ICBA),3,0,3,0
IREM,3,0,3,0
Illinois Institute of Technology,3,0,2,1
uExcelerate,3,0,1,2
North American Transportation Management Institute (NATMI),3,0,3,0
Commission on Nurse Certification,3,0,3,0
NorQuest College,3,0,3,0
N2K Networks,3,0,3,0
Unity Environmental University,3,0,3,0
The International Coaching Group Inc.,3,0,3,0
BPTS - Board of Pharmacy Technician Specialties,3,0,3,0
Boostaro,3,0,3,0
FIRE UP Coaching,3,0,3,0
American Water Works Association,3,0,3,0
Missing Link,3,0,3,0
The Painted Sky,3,0,3,0
Center for Executive and Professional Education,3,0,3,0
Ph. Creative,3,0,3,0
Elite Training,3,0,3,0
American Hospital Association,3,0,3,0
Quantum Endeavors - Inpowered Coaching Institute®,3,0,3,0
Balanced Scorecard Institute,3,0,3,0
Wake Technical Community College,3,0,3,0
Cox School of Business at Southern Methodist University,3,0,3,0
The OKR Method,3,0,3,0
Nexacu,3,0,3,0
Denison Edge,3,0,2,1
Texas A&M University Mays Business School,3,0,3,0
TRAITS,3,0,3,0
SUMMA CENTER LATAM,3,0,3,0
Pearson MePro,3,0,3,0
Southern Utah University,3,0,3,0
Specialty Pharmacy Certification Board (SPCB),3,0,3,0
Openprise,3,0,2,1
EC-Council Associate,3,0,3,0
Australian HR Institute,3,0,3,0
Carrefour de l’entrepreneuriat | uOttawa | Entrepreneurship Hub,3,0,3,0
VersaFi,3,0,3,0
TPC Leadership,3,0,3,0
Digital Health CRC,3,0,3,0
Domo,3,0,2,1
Shared Assessments,3,0,2,1
"The University of Queensland, Business School",3,0,2,1
HCI Academy,3,0,3,0
The Gordon Institute of Business Science,3,0,3,0
The Lincoln Leadership Institute,3,0,3,0
OUI-IOHE | Organización Universitaria Interamericana,3,0,2,1
Prodevia Learning,3,0,3,0
The Diversity Movement,3,0,3,0
Rapid Learning Cycles Institute,3,0,1,2
The Corker Collective,3,0,3,0
VyOS Networks,3,0,2,1
PM-ProSolutions,3,0,3,0
Practicing Excellence,3,0,1,2
Candid,3,0,1,2
XelPlus,3,0,3,0
West London Business,3,0,0,3
The Hackett Group,3,0,0,3
Open Source in Pharma,3,0,0,3
Deloitte,3,0,0,3
City & Guilds - NRoSO,3,0,0,3
Nassau Community College,3,0,0,3
Microsoft Employee Learning,3,0,0,3
WGU,3,0,0,3
Aston Carter,3,0,0,3
Independent Tertiary Education Council Australia (ITECA),3,0,0,3
Pearson Professional Programs,3,0,0,3
Quest,3,0,0,3
Association of Enterprise Architects,3,0,0,3
Skyhigh Security,3,0,0,3
Experts Live,3,0,0,3
SalesFuel,3,0,0,3
DP World,3,0,0,3
National Board for Certification in Hearing Instrument Sciences,3,0,0,3
Microsoft Azure Database for MySQL,3,0,0,3
Walmart,3,0,0,3
Compass Training and Mentoring Program at Washington University School of Medicine in St. Louis,3,0,0,3
"Talkdesk, Inc.",3,0,0,3
National Board of Nutrition Support Certification,3,0,0,3
SnapLogic,3,0,0,3
Federal Aviation Administration Academy,3,0,0,3
BARBRI Global,3,0,0,3
Dale Carnegie & Associates,3,0,0,3
AWS AWSome Awards,3,0,0,3
DevStream,3,0,0,3
Endava,3,0,0,3
Nikon Instruments,3,0,0,3
Logitech + Microsoft Teams,3,0,0,3
The Pat Tillman Foundation,3,0,0,3
Bell Leadership Institute,3,0,0,3
Training magazine,3,0,0,3
American Physical Society,3,0,0,3
"Careers & Employability, University of Lincoln",3,0,0,3
Fitch Learning,3,0,0,3
mobileLIVE,3,0,0,3
QuerySurge,3,0,0,3
Penn State Great Valley School of Professional Studies,3,0,0,3
Specialty Coffee Association,3,0,0,3
National Hemp Association,3,0,0,3
Korn Ferry Charitable Foundation,3,0,0,3
Iverson Associates,3,0,0,3
American Planning Association,3,0,0,3
"The University of Texas at San Antonio, Center for Global Development",3,0,0,3
Visa University (Internal Badging Programs),3,0,0,3
Universal Public Procurement Certification Council (UPPCC),3,0,0,3
アドテック東京,3,0,0,3
Wintrust Financial,3,0,0,3
International Product Foundation,3,0,0,3
BitTitan,2,2,0,0
CCCS Consejo Colombiano de Construcción Sostenible,2,2,0,0
Bacardi,2,2,0,0
Universidad Externado de Colombia,2,2,0,0
Saginaw Intermediate School District,2,2,0,0
Xbox Game Camp,2,2,0,0
AWS Amplify,2,2,0,0
Energy Academy NZ,2,2,0,0
Data Inspiration Group Ltd,2,2,0,0
Sigma Computing,2,2,0,0
Bishop Druitt College,2,2,0,0
ForAllSecure,2,2,0,0
"연세대학교 K-NIBRT 교육센터 (Yonsei Univ., K-NIBRT Education Centre)",2,2,0,0
STEAM Pakistan,2,2,0,0
Pearson Workforce Skills,2,2,0,0
MutualofOmaha.com,2,2,0,0
Chevron,2,2,0,0
Blackmores Institute,2,2,0,0
Cloudera Partner Network,2,2,0,0
Showpad,2,1,0,1
Prague Training Academy,2,2,0,0
Municipal Works Australia,2,1,1,0
MePush,2,2,0,0
Wiley Education Services,2,1,0,1
The University of the West Indies,2,2,0,0
CLO100,2,1,1,0
Minnesota State,2,1,0,1
American College of Cardiology,2,2,0,0
Talent Magnet Institute®,2,1,1,0
Microsoft Cloud Operations + Innovation Learning,2,1,0,1
The Leadership Alliance Consortium,2,2,0,0
SkillsCamp Soft Skills Training,2,1,1,0
Fundación Universitaria Los Libertadores,2,2,0,0
NASUWT,2,2,0,0
Cotton Incorporated,2,2,0,0
University of Colorado Anschutz Medical Campus,2,2,0,0
Queensborough Community College,2,2,0,0
XP Inc.,2,2,0,0
Electives,2,1,1,0
Campus Party Colombia,2,2,0,0
SUNY New Paltz,2,1,1,0
Amperity,2,2,0,0
University of St. Augustine for Health Sciences,2,2,0,0
Linaro,2,2,0,0
MACROSeguridad - MASEG,2,2,0,0
Rutgers University,2,1,0,1
Samsung Electronics - Mobile Experience Business,2,2,0,0
Wichita State University,2,2,0,0
Unstuck Learning Design,2,1,0,1
SHRM APAC,2,1,0,1
Society for Financial Education and Professional Development,2,2,0,0
Pearson Virtual Schools,2,2,0,0
Rio AI (UK) Limited,2,1,1,0
Fast track into Information Technology limited,2,2,0,0
Hazelcast,2,1,0,1
Clemson University,2,2,0,0
Universidad Autónoma de Chile,2,2,0,0
Penn State College of Engineering,2,1,1,0
Baylor University,2,1,1,0
ToftH (Transformations of the Human),2,2,0,0
"UMSL Office of Diversity, Equity, & Inclusion",2,1,1,0
RiskIQ,2,2,0,0
Cardiff Metropolitan University,2,1,1,0
The University of Mississippi Medical Center,2,1,0,1
Thomson Reuters Legal Solutions and Technology,2,1,1,0
She Loves Data,2,1,0,1
Sophos,2,1,0,1
Future Creators,2,2,0,0
Center for Credentialing & Education (CCE),2,0,2,0
American Association of Healthcare Administrative Management,2,0,2,0
Alpha Development,2,0,1,1
Tencent Cloud,2,0,2,0
Institute of Analytics Professionals of Australia,2,0,2,0
World Academy (WARD),2,0,2,0
Graduate School Alliance For Education in Coaching,2,0,2,0
Hyvä Themes B.V.,2,0,2,0
CyberCert,2,0,2,0
Association of Independent Schools of WA (AISWA),2,0,2,0
Muhakat Institute,2,0,2,0
Tellabs Access LLC,2,0,2,0
Inflexion Group | ABM Academy,2,0,1,1
Center for Sustainability and Excellence (CSE),2,0,2,0
"Tenova, LLC",2,0,2,0
Allen Academy,2,0,2,0
Real World Group,2,0,2,0
ORG AI,2,0,2,0
comdivision consulting GmbH,2,0,2,0
Coro California,2,0,2,0
PebblePad,2,0,1,1
The Project Booth,2,0,2,0
METCELERATE Ltd,2,0,2,0
BRE,2,0,2,0
dormakaba,2,0,2,0
DigitalCampus,2,0,2,0
University of Pittsburgh School of Pharmacy,2,0,2,0
Talegent,2,0,2,0
Six Sigma College Düsseldorf,2,0,2,0
Design Thinking Center,2,0,2,0
International Dynamics Advisors,2,0,2,0
Disruption Advisors,2,0,2,0
GALILEU,2,0,1,1
University of Baltimore - Schaefer Center for Public Policy,2,0,2,0
The Achieve Institute,2,0,2,0
Society of Technical Analysts,2,0,2,0
5 Dynamics,2,0,2,0
The SABSA Institute,2,0,2,0
Inspire Leadership Network,2,0,2,0
Asia Pacific University of Technology and Innovation,2,0,2,0
American Animal Hospital Association (AAHA),2,0,2,0
3D Group,2,0,2,0
ETAP,2,0,2,0
Carroll University,2,0,2,0
Beacon Platform Inc.,2,0,2,0
Wind River,2,0,1,1
Versa Networks,2,0,2,0
Knowledgence ABM Graduate School,2,0,2,0
The Black In HR,2,0,2,0
Impact Africa Consulting Limited (IACL),2,0,1,1
The International Exit Planning Association,2,0,2,0
International Association for Strategy Professionals,2,0,2,0
Techbridge Girls,2,0,2,0
International House Berkeley - Robertson Center for Intercultural Leadership,2,0,2,0
DataRobot University,2,0,2,0
"Medidata, a Dassault Systèmes company",2,0,2,0
Japan Market Expansion Competition,2,0,2,0
National Council on Qualifications for Lighting Professions,2,0,2,0
The Process Fixer,2,0,2,0
"International Carwash Association, Inc.",2,0,1,1
Hospitality Quotient,2,0,2,0
CLM Alliance (Claims and Litigation Management Alliance),2,0,2,0
American University,2,0,2,0
iAccelerate,2,0,2,0
Aphasia Access,2,0,2,0
UNI / Wilson College of Business,2,0,2,0
StraighterLine,2,0,2,0
NIIT USA,2,0,2,0
AOTMP®,2,0,2,0
Parks and Leisure Australia,2,0,1,1
Institute for Experiential Learning,2,0,2,0
HIT Global,2,0,2,0
Carnegie Mellon University - Heinz College Executive Education,2,0,2,0
Surgent Income Tax School,2,0,2,0
Virtuoso,2,0,2,0
CENTRUM PUCP Business School,2,0,2,0
Ivey Business School Foundation,2,0,1,1
"ROI Institute, Inc.",2,0,2,0
Women's Leadership Institute of Utah,2,0,2,0
The Florida Center for Public Management at FSU,2,0,2,0
Community College of Vermont,2,0,2,0
ITSM Hub,2,0,2,0
Telfer Executive Programs,2,0,2,0
Strategic Horizons LLP,2,0,2,0
INNOCOM Institute,2,0,1,1
Global Tecnologías Academy,2,0,2,0
IAB Brasil,2,0,2,0
SISA Information Security,2,0,2,0
Earth2Mars,2,0,2,0
Oklahoma Wesleyan University,2,0,2,0
University of Montana,2,0,2,0
Australian Payroll Association,2,0,1,1
Iterum: Organisational Learning,2,0,2,0
Humentum,2,0,2,0
Culture+,2,0,2,0
National Workforce Career Association (NWCA),2,0,1,1
ARMA International,2,0,2,0
ProEd,2,0,2,0
International Advertising Association UK Ltd,2,0,2,0
Alpha UMi,2,0,1,1
ALC Training,2,0,2,0
AABC Commissioning Group,2,0,2,0
